,D0_n,D0_l,D0_p,iPSCs_n,iPSCs_l,iPSCs_p
3154,Gm13145,,2.2520162721510414e-54,Gm13145,,2.2520162721510414e-54
3155,Spag9,,1.4193783132177725e-55,Spag9,,1.4193783132177725e-55
3156,Kdm2b,,3.007336590804377e-55,Kdm2b,,3.007336590804377e-55
3157,Bcap31,,1.3493242117920305e-55,Bcap31,,1.3493242117920305e-55
3158,Gls2,,1.562852016855552e-54,Gls2,,1.562852016855552e-54
3159,Fam92a,,1.234626019902452e-55,Fam92a,,1.234626019902452e-55
3160,Dda1,,1.242337290348818e-55,Dda1,,1.242337290348818e-55
3161,Usp9x,,4.717181153263953e-55,Usp9x,,4.717181153263953e-55
3162,Leprot,,1.6671613858171223e-55,Leprot,,1.6671613858171223e-55
3163,Dppa1,,3.644373005366179e-54,Dppa1,,3.644373005366179e-54
3164,Armc10,,2.6593393407365286e-55,Armc10,,2.6593393407365286e-55
3165,BC052040,,6.974569829727899e-55,BC052040,,6.974569829727899e-55
3166,Sra1,,2.0919322051184695e-55,Sra1,,2.0919322051184695e-55
3167,Ufsp2,,2.1766545319377546e-55,Ufsp2,,2.1766545319377546e-55
3168,Mki67,,2.4564104927799176e-55,Mki67,,2.4564104927799176e-55
3169,Gns,,2.908270248936727e-55,Gns,,2.908270248936727e-55
3170,Cdk4,,2.9003833704379407e-55,Cdk4,,2.9003833704379407e-55
3171,Cd2,,6.017735018556717e-54,Cd2,,6.017735018556717e-54
3172,Sgol2a,,6.364094213103421e-55,Sgol2a,,6.364094213103421e-55
3173,Stat5b,,8.788138152918252e-55,Stat5b,,8.788138152918252e-55
3174,Slc35f5,,4.473472774074383e-55,Slc35f5,,4.473472774074383e-55
3175,Znrd1as,,9.249635303932954e-55,Znrd1as,,9.249635303932954e-55
3176,Rsph9,,2.065217230194381e-54,Rsph9,,2.065217230194381e-54
3177,Zfp91,,4.1714305064753206e-55,Zfp91,,4.1714305064753206e-55
3178,Gdf15,,1.598165625770052e-54,Gdf15,,1.598165625770052e-54
3179,Unc5c,,2.0493959452941616e-54,Unc5c,,2.0493959452941616e-54
3180,B930036N10Rik,,2.5789491023903506e-54,B930036N10Rik,,2.5789491023903506e-54
3181,Myd88,,8.084115461777126e-55,Myd88,,8.084115461777126e-55
3182,Atp10a,,1.5251778467319134e-54,Atp10a,,1.5251778467319134e-54
3183,Pip5k1b,,1.0914043869837113e-53,Pip5k1b,,1.0914043869837113e-53
3184,Tnfaip8,,8.489910559725685e-55,Tnfaip8,,8.489910559725685e-55
3185,Krt42,,1.3472136136916607e-53,Krt42,,1.3472136136916607e-53
3186,Gramd4,,1.6172752067956302e-54,Gramd4,,1.6172752067956302e-54
3187,Hnrnpdl,,9.248964766847758e-55,Hnrnpdl,,9.248964766847758e-55
3188,Gm10076,,9.074410293070542e-55,Gm10076,,9.074410293070542e-55
3189,Aspn,,3.020503356925455e-54,Aspn,,3.020503356925455e-54
3190,Fmod,,1.8055058405963253e-54,Fmod,,1.8055058405963253e-54
3191,Frs3,,6.889609495840564e-54,Frs3,,6.889609495840564e-54
3192,Pold3,,2.190816886838204e-54,Pold3,,2.190816886838204e-54
3193,Canx,,1.3326416364114552e-54,Canx,,1.3326416364114552e-54
3194,Deptor,,9.107557642835854e-54,Deptor,,9.107557642835854e-54
3195,Cnot6,,1.497738680315125e-54,Cnot6,,1.497738680315125e-54
3196,Numbl,,1.7775478821908412e-54,Numbl,,1.7775478821908412e-54
3197,Cbr3,,3.89718597068149e-54,Cbr3,,3.89718597068149e-54
3198,Kif1c,,2.5789491023903506e-54,Kif1c,,2.5789491023903506e-54
3199,1110046J04Rik,,3.4080681033049917e-54,1110046J04Rik,,3.4080681033049917e-54
3200,Tulp3,,2.366158038965924e-54,Tulp3,,2.366158038965924e-54
3201,Ccdc53,,2.801527220176109e-54,Ccdc53,,2.801527220176109e-54
